                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3415,                 4.3479,                 4.1658,                0.00051,                0.67105,                 0.0015,                0.00054,                 3.5408,                 6.6315,                 4.1339,             0.00047059,             0.00047059,             0.00047059
                      2,                 3.0438,                 3.9449,                 3.7101,                0.50258,                0.02632,                 0.0016,                0.00034,                 3.4167,                 10.399,                 3.7632,              0.0009438,              0.0009438,              0.0009438
                      3,                 2.9471,                 3.7756,                  3.403,                0.50419,                0.04825,                0.00132,                0.00032,                 3.2355,                 50.032,                 3.3902,              0.0014139,              0.0014139,              0.0014139
                      4,                 2.7605,                 3.4939,                 3.2314,                0.50211,                0.00439,                0.00119,                0.00032,                 2.9929,                 9.7336,                 3.2682,              0.0014149,              0.0014149,              0.0014149
                      5,                 2.5692,                 3.3635,                 3.0843,                0.51405,                0.02523,                0.00451,                0.00157,                   2.83,                 4.8608,                 3.2294,              0.0014149,              0.0014149,              0.0014149
                      6,                 2.4422,                 3.2652,                 2.9794,                0.51701,                0.04386,                0.00615,                0.00226,                 2.5903,                  6.639,                  2.936,              0.0014101,              0.0014101,              0.0014101
                      7,                 2.3577,                 3.1594,                 2.8602,                0.50609,                0.00877,                0.00768,                0.00209,                  2.628,                 9.4332,                 2.9329,              0.0014054,              0.0014054,              0.0014054
                      8,                 2.3243,                 3.2018,                 2.8191,                 0.5087,                0.02632,                0.01855,                0.00321,                 2.4527,                 5.5966,                 2.8214,              0.0014007,              0.0014007,              0.0014007
                      9,                 2.2207,                 3.0256,                 2.6892,                0.50963,                0.04386,                0.02381,                0.00568,                 2.3954,                 4.7815,                 2.7511,               0.001396,               0.001396,               0.001396
                     10,                 2.1712,                 2.9575,                 2.6261,                0.51108,                0.01754,                0.01405,                0.00598,                 2.4052,                 5.7332,                 2.9035,              0.0013913,              0.0013913,              0.0013913
                     11,                 2.0749,                 2.8838,                 2.5234,                0.52836,                0.04386,                0.01299,                0.00539,                 2.3843,                 4.4345,                 2.6746,              0.0013866,              0.0013866,              0.0013866
                     12,                 2.0505,                 2.8064,                 2.5062,                0.52053,                0.09211,                 0.0118,                 0.0051,                 2.4106,                 5.3978,                 2.8144,              0.0013818,              0.0013818,              0.0013818
                     13,                 1.9812,                 2.7737,                 2.4507,                0.54193,                0.03947,                0.01828,                0.00672,                 2.4214,                 8.0347,                 2.7592,              0.0013771,              0.0013771,              0.0013771
                     14,                 1.9736,                 2.6497,                 2.4028,                0.56185,                0.03509,                 0.0173,                 0.0099,                 2.3096,                 4.6712,                 2.5848,              0.0013724,              0.0013724,              0.0013724
                     15,                 1.8864,                 2.6388,                  2.349,                0.56602,                0.04825,                0.03709,                0.01356,                 2.1098,                 4.1173,                 2.5413,              0.0013677,              0.0013677,              0.0013677
                     16,                 1.8618,                 2.5182,                 2.3061,                0.55456,                0.03947,                 0.0244,                0.00954,                 2.1508,                 5.8758,                 2.4756,               0.001363,               0.001363,               0.001363
                     17,                 1.8389,                 2.5124,                 2.2913,                0.54811,                0.09106,                0.02364,                0.00986,                 2.0166,                 4.0712,                 2.3834,              0.0013583,              0.0013583,              0.0013583
                     18,                 1.8083,                 2.4862,                 2.2439,                0.54598,                0.06579,                 0.0262,                0.01344,                 2.1147,                 4.9957,                 2.4847,              0.0013535,              0.0013535,              0.0013535
                     19,                 1.8126,                 2.4209,                 2.2561,                0.56717,                0.10088,                0.03768,                0.01865,                 1.9801,                 4.6774,                 2.3676,              0.0013488,              0.0013488,              0.0013488
                     20,                 1.7782,                 2.4465,                  2.196,                0.54941,                0.12281,                0.02908,                 0.0142,                 2.0216,                  4.208,                  2.426,              0.0013441,              0.0013441,              0.0013441
                     21,                 1.7333,                 2.3832,                 2.1586,                0.54624,                0.14474,                0.03063,                0.01596,                  1.927,                 4.3892,                 2.3301,              0.0013394,              0.0013394,              0.0013394
                     22,                 1.7375,                  2.339,                 2.1726,                0.56353,                0.11404,                0.04649,                 0.0235,                 1.9746,                  3.738,                 2.3151,              0.0013347,              0.0013347,              0.0013347
                     23,                 1.7389,                 2.3423,                 2.1287,                0.55222,                0.11842,                0.03784,                0.01885,                 1.9187,                 4.5696,                 2.2489,                0.00133,                0.00133,                0.00133
                     24,                 1.6884,                 2.2896,                 2.1105,                0.55393,                0.13158,                0.04096,                0.01854,                  2.022,                 4.6908,                 2.3156,              0.0013253,              0.0013253,              0.0013253
                     25,                 1.7041,                 2.3017,                 2.1149,                0.55967,                0.11842,                0.04351,                0.02403,                 2.0178,                 3.5997,                  2.319,              0.0013205,              0.0013205,              0.0013205
                     26,                 1.7003,                 2.2541,                 2.1052,                0.55997,                0.10088,                0.04349,                0.02176,                 1.9756,                 4.3491,                 2.2969,              0.0013158,              0.0013158,              0.0013158
                     27,                 1.6595,                 2.2527,                 2.0737,                0.55736,                0.13596,                0.04197,                0.02287,                 1.8639,                 3.6027,                 2.1829,              0.0013111,              0.0013111,              0.0013111
                     28,                 1.6833,                 2.2323,                 2.1136,                 0.5614,                0.14912,                0.06234,                0.03738,                 1.9068,                 3.9869,                 2.2348,              0.0013064,              0.0013064,              0.0013064
                     29,                 1.6388,                 2.2173,                 2.0557,                0.56886,                0.11404,                0.05422,                0.02917,                 1.9839,                 3.8551,                 2.2693,              0.0013017,              0.0013017,              0.0013017
                     30,                  1.656,                 2.2125,                 2.0424,                0.57837,                0.13158,                0.03822,                0.01943,                 1.9461,                 3.4936,                 2.2698,               0.001297,               0.001297,               0.001297
                     31,                 1.6106,                 2.1862,                 2.0249,                0.57146,                0.10965,                0.06032,                0.03337,                 1.9827,                  3.529,                 2.2627,              0.0012922,              0.0012922,              0.0012922
                     32,                  1.608,                 2.1055,                 1.9949,                0.55771,                0.12719,                0.05893,                0.03201,                 1.9422,                 4.5361,                 2.2405,              0.0012875,              0.0012875,              0.0012875
                     33,                 1.6539,                 2.1244,                 2.0244,                0.57248,                0.14474,                0.04637,                0.02659,                 1.8709,                 3.5652,                 2.1939,              0.0012828,              0.0012828,              0.0012828
                     34,                 1.6217,                 2.1481,                 2.0212,                0.56942,                0.14035,                0.05654,                0.03092,                 1.9268,                 3.5744,                 2.2278,              0.0012781,              0.0012781,              0.0012781
                     35,                 1.6101,                 2.1632,                 2.0273,                0.57839,                0.15657,                0.05634,                0.02967,                 1.9508,                  3.677,                 2.2412,              0.0012734,              0.0012734,              0.0012734
                     36,                 1.5923,                 2.1269,                  2.008,                0.56693,                0.12719,                0.05972,                0.03728,                 1.8266,                 4.2864,                 2.1633,              0.0012687,              0.0012687,              0.0012687
                     37,                 1.5821,                 2.1282,                 1.9819,                0.58153,                0.11404,                0.05676,                0.03223,                 1.9378,                 3.8608,                 2.2503,               0.001264,               0.001264,               0.001264
                     38,                 1.6093,                  2.117,                 2.0141,                0.58002,                0.15789,                0.06013,                0.03558,                 1.9084,                 3.8249,                 2.1763,              0.0012592,              0.0012592,              0.0012592
                     39,                 1.5683,                 2.0862,                 1.9661,                0.56777,                0.17982,                 0.0707,                0.04289,                 1.8884,                 3.9651,                 2.2122,              0.0012545,              0.0012545,              0.0012545
                     40,                 1.5342,                 2.1262,                 1.9326,                0.57299,                0.14474,                0.05532,                 0.0327,                 1.9309,                 3.9061,                 2.2193,              0.0012498,              0.0012498,              0.0012498
                     41,                 1.5421,                 2.0342,                 1.9406,                0.58954,                0.10088,                0.06017,                0.03034,                 1.8891,                 4.8343,                 2.1834,              0.0012451,              0.0012451,              0.0012451
                     42,                 1.5407,                 2.1373,                 1.9378,                0.57325,                0.13596,                0.06715,                0.03759,                  1.845,                 4.0922,                 2.1452,              0.0012404,              0.0012404,              0.0012404
                     43,                 1.5367,                  2.073,                 1.9736,                0.57806,                0.15351,                0.05634,                0.02944,                 1.8705,                 3.4896,                 2.1398,              0.0012357,              0.0012357,              0.0012357
                     44,                 1.5201,                 2.0418,                   1.93,                0.56161,                0.14912,                0.06272,                0.03677,                 1.8566,                 3.9959,                   2.17,              0.0012309,              0.0012309,              0.0012309
                     45,                 1.5318,                 2.0602,                 1.9493,                0.58967,                0.17105,                0.06625,                0.03194,                 1.9419,                 3.6457,                 2.1562,              0.0012262,              0.0012262,              0.0012262
                     46,                 1.5247,                 1.9898,                 1.9237,                0.58002,                0.13158,                 0.0592,                0.03588,                 1.9132,                 3.8108,                 2.1325,              0.0012215,              0.0012215,              0.0012215
                     47,                   1.51,                 1.9882,                 1.9092,                0.57399,                0.15789,                 0.0663,                0.03987,                 1.7945,                 4.0385,                 2.1152,              0.0012168,              0.0012168,              0.0012168
                     48,                 1.4991,                  1.983,                 1.8941,                0.57057,                0.16667,                0.05072,                0.02868,                 1.9336,                  4.097,                 2.2217,              0.0012121,              0.0012121,              0.0012121
                     49,                 1.5148,                 2.0191,                 1.9283,                0.56822,                0.16667,                0.05524,                0.03192,                 1.9736,                 3.9701,                 2.2705,              0.0012074,              0.0012074,              0.0012074
                     50,                 1.4911,                  1.971,                 1.9054,                0.57422,                0.16228,                0.06024,                0.03433,                 1.8144,                 3.9474,                 2.1514,              0.0012026,              0.0012026,              0.0012026
                     51,                 1.4873,                 1.9935,                 1.8782,                0.57498,                0.15789,                0.07944,                 0.0486,                 1.7588,                 4.0102,                 2.0691,              0.0011979,              0.0011979,              0.0011979
                     52,                 1.4307,                 1.9338,                 1.8603,                0.57667,                0.17544,                0.08584,                0.05336,                 1.8423,                 3.7161,                 2.1366,              0.0011932,              0.0011932,              0.0011932
                     53,                 1.4991,                 2.0306,                 1.9251,                0.56547,                0.17105,                 0.1005,                0.06718,                 1.8713,                 4.4206,                 2.1448,              0.0011885,              0.0011885,              0.0011885
                     54,                 1.4747,                 1.9124,                 1.8704,                0.59869,                0.17105,                0.09771,                0.05793,                 1.9058,                 3.4537,                 2.1525,              0.0011838,              0.0011838,              0.0011838
                     55,                 1.4733,                 1.9815,                 1.8883,                0.57648,                0.15789,                0.07253,                0.04576,                  1.812,                 3.8669,                 2.0942,              0.0011791,              0.0011791,              0.0011791
                     56,                 1.4657,                 1.9575,                 1.8829,                0.57212,                0.13158,                0.07359,                0.04968,                 1.8242,                  3.688,                 2.1086,              0.0011744,              0.0011744,              0.0011744
                     57,                 1.4374,                 1.9016,                 1.8552,                0.58023,                0.17982,                0.07728,                0.04882,                 1.7482,                 3.4824,                 2.0518,              0.0011696,              0.0011696,              0.0011696
                     58,                 1.4513,                 1.9012,                 1.8335,                0.57914,                0.15789,                0.06823,                0.04432,                 1.7781,                  3.782,                 2.0676,              0.0011649,              0.0011649,              0.0011649
