                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2809,                 3.5871,                 4.1247,                0.00268,                0.48168,                0.00887,                0.00244,                 3.7049,                 3.6211,                 4.3793,             0.00065812,             0.00065812,             0.00065812
                      2,                 3.0207,                 3.3662,                 3.5721,                0.01099,                0.03665,                0.00981,                0.00262,                 3.0634,                 3.7519,                 4.1967,              0.0013204,              0.0013204,              0.0013204
                      3,                 2.8546,                 3.1806,                 3.2543,                0.04187,                0.05759,                0.01529,                0.00393,                 2.9036,                 4.3672,                  3.527,              0.0019783,              0.0019783,              0.0019783
                      4,                  2.705,                 3.0934,                 3.1267,                 0.0732,                0.25654,                0.04995,                0.01092,                 2.7785,                 3.4805,                 3.2575,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.5162,                 2.9535,                 2.9773,                0.10949,                0.15183,                0.04483,                0.01434,                 2.6806,                 3.2285,                 3.1768,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.3699,                  2.879,                 2.8545,                0.12746,                0.19372,                0.06692,                0.02096,                 2.5534,                 3.2729,                 3.0652,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.3079,                 2.7848,                 2.7218,                0.10805,                0.12827,                0.07919,                0.02885,                 2.5428,                 4.8468,                 3.0449,               0.001967,               0.001967,               0.001967
                      8,                 2.1915,                 2.6968,                 2.6461,                0.11066,                 0.1623,                0.08223,                0.02315,                 2.3974,                 3.4488,                 2.8177,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.1183,                 2.5806,                 2.5338,                 0.2332,                0.30628,                0.15888,                 0.0577,                 2.2449,                 2.7918,                 2.7114,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.0792,                 2.5102,                 2.4675,                0.28799,                0.33246,                0.19288,                0.06548,                 2.2582,                 2.5938,                 2.7378,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.9845,                 2.3962,                 2.3842,                0.33383,                0.33246,                0.23334,                0.08505,                  2.155,                 2.5848,                 2.5702,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.9382,                 2.3497,                 2.3471,                0.21214,                0.28796,                0.14144,                0.04696,                 2.4028,                 2.8376,                 2.8234,               0.001934,               0.001934,               0.001934
                     13,                 1.9002,                 2.3028,                 2.2772,                 0.3414,                0.34031,                0.24315,                0.09558,                 2.0559,                 2.4549,                 2.5052,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.8906,                 2.2926,                   2.27,                0.25833,                0.39267,                0.19908,                0.08537,                 1.9716,                 2.7613,                 2.4273,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.8137,                 2.2292,                  2.193,                0.40758,                0.39443,                0.28652,                0.12912,                 2.0074,                 2.4286,                 2.4092,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.8344,                 2.2129,                 2.2009,                0.42421,                0.35079,                0.28805,                 0.1144,                 1.9928,                 2.4048,                 2.4203,              0.0019076,              0.0019076,              0.0019076
                     17,                  1.783,                 2.1438,                 2.1555,                0.46463,                0.40838,                0.33785,                0.15246,                 1.8786,                 2.3121,                 2.3147,               0.001901,               0.001901,               0.001901
                     18,                 1.7817,                 2.1449,                 2.1426,                0.49373,                0.39005,                0.35548,                0.16121,                 1.9614,                 2.2545,                 2.3504,              0.0018944,              0.0018944,              0.0018944
                     19,                  1.719,                 2.0851,                  2.098,                0.50341,                0.40314,                0.35404,                0.16953,                 1.9628,                 2.2312,                 2.3587,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.7294,                 2.0277,                 2.0833,                0.52659,                0.39791,                0.38816,                0.18517,                 1.8944,                 2.1519,                 2.3089,              0.0018812,              0.0018812,              0.0018812
                     21,                  1.707,                 2.0298,                 2.0844,                0.45334,                0.38482,                0.33657,                0.15289,                 1.9537,                 2.3365,                 2.3318,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.6862,                 1.9909,                  2.043,                0.56363,                0.40838,                0.37985,                 0.1911,                 1.8615,                 2.1169,                 2.2466,               0.001868,               0.001868,               0.001868
                     23,                 1.6614,                 1.9721,                 2.0088,                0.42874,                0.41259,                0.32946,                0.17166,                 1.8126,                 2.3085,                 2.2158,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.6588,                 1.9158,                 1.9933,                0.57626,                0.40576,                0.39812,                0.19243,                 1.8686,                 2.1192,                 2.2688,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.6703,                 1.9953,                 2.0184,                0.42671,                0.41099,                0.33905,                0.15979,                 1.8797,                 2.2014,                 2.2608,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.6379,                 1.9351,                 1.9946,                0.52829,                0.41099,                0.40188,                0.20057,                 1.8658,                 2.1069,                 2.2137,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.6173,                 1.9223,                  1.979,                0.51078,                0.42091,                0.38319,                0.19724,                 1.8204,                 2.0644,                 2.1816,               0.001835,               0.001835,               0.001835
                     28,                 1.5944,                 1.8436,                 1.9541,                0.53908,                0.41623,                0.39703,                0.20834,                 1.7165,                 2.0457,                 2.1495,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.5804,                 1.8503,                 1.9247,                0.55884,                0.40838,                0.41199,                0.18855,                 1.8957,                 2.1202,                 2.2312,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.6244,                  1.884,                  1.975,                0.54695,                 0.4235,                0.40531,                0.19681,                 1.8352,                 2.0377,                 2.2134,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.5884,                 1.8524,                 1.9292,                0.57971,                0.46335,                0.43382,                0.23865,                 1.7188,                  1.964,                 2.1356,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.6181,                 1.8707,                 1.9597,                0.58731,                0.43455,                0.42272,                0.22331,                 1.7705,                 2.0083,                 2.1835,               0.001802,               0.001802,               0.001802
                     33,                 1.5939,                 1.8412,                 1.9178,                0.56299,                0.45288,                0.44442,                  0.233,                 1.7652,                 1.9853,                 2.1637,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.5892,                 1.8399,                 1.9211,                0.60669,                 0.4712,                0.43378,                0.23078,                 1.7408,                 1.9335,                 2.1384,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.5829,                 1.8407,                 1.9245,                0.56764,                0.44764,                0.43556,                0.22658,                 1.7349,                 1.9894,                   2.13,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.5434,                 1.7915,                 1.8818,                0.53094,                0.41099,                0.41553,                0.22136,                 1.7319,                 2.0514,                 2.1532,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.5323,                 1.7649,                 1.8904,                0.64794,                0.45026,                0.45499,                0.24621,                 1.6946,                 1.8871,                 2.1018,               0.001769,               0.001769,               0.001769
                     38,                 1.5625,                 1.7595,                 1.8933,                0.57115,                0.40442,                 0.3898,                0.19506,                 1.8408,                 2.1705,                 2.2462,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.5426,                 1.7684,                 1.8781,                0.59459,                0.42932,                0.43261,                0.21887,                 1.7773,                 2.0118,                 2.1207,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.5184,                 1.7418,                 1.8595,                0.57874,                0.45812,                0.45562,                0.24954,                 1.6961,                 1.8902,                   2.08,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.5303,                   1.76,                 1.8642,                0.61955,                0.47906,                0.46464,                0.25198,                 1.6997,                 1.8369,                  2.077,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.5241,                 1.7645,                 1.8671,                0.64607,                0.43194,                 0.4593,                0.25257,                 1.6422,                 1.8657,                 2.0484,               0.001736,               0.001736,               0.001736
                     43,                 1.4898,                 1.7013,                 1.8237,                0.59435,                0.47944,                0.48173,                 0.2635,                 1.6231,                 1.8115,                 2.0098,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.4994,                 1.7009,                 1.8453,                0.55841,                0.47644,                0.46149,                0.24919,                 1.6385,                 1.9659,                 2.0378,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.5038,                 1.7019,                 1.8287,                0.58032,                0.49229,                0.49484,                0.27103,                 1.6956,                 1.7792,                 2.0615,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.4863,                 1.6891,                   1.84,                0.60966,                0.43979,                0.46518,                 0.2484,                 1.6925,                 1.8676,                  2.109,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.4958,                 1.6854,                 1.8372,                0.60712,                0.46597,                0.48576,                0.26197,                 1.6495,                 1.7984,                 2.0363,               0.001703,               0.001703,               0.001703
                     48,                 1.4756,                 1.6482,                 1.8312,                0.60015,                0.48691,                0.47018,                0.25057,                 1.7276,                  1.841,                 2.0899,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.5122,                 1.6917,                 1.8331,                0.58037,                0.50262,                0.47208,                0.25189,                 1.6768,                 1.7928,                 2.0624,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.4454,                 1.6538,                 1.8126,                0.60801,                0.48691,                0.47853,                0.25705,                 1.6734,                   1.78,                 2.0638,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.4672,                 1.6788,                 1.8035,                0.63255,                0.48168,                0.48965,                0.27198,                 1.6649,                 1.7694,                 2.0618,              0.0016766,              0.0016766,              0.0016766
